GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000163681	3	57741177	57914895	382	36	173005	2.018	0.021796	SLMAP
ENSG00000136068	3	57994127	58157982	528	40	173005	-1.8158	0.9653	FLNB
ENSG00000163687	3	58177984	58200424	105	18	173005	-0.46011	0.67728	DNASE1L3
ENSG00000163686	3	58223233	58281420	270	20	173005	-0.046809	0.51867	ABHD6
ENSG00000163684	3	58291974	58310422	89	14	173005	0.37391	0.35423	RPP14
ENSG00000168297	3	58318607	58411748	447	25	173005	0.92312	0.17797	PXK
ENSG00000168291	3	58413357	58419584	30	8	173005	0.91696	0.17958	PDHB
ENSG00000168301	3	58477841	58488087	25	11	173005	0.73226	0.23201	KCTD6
ENSG00000168306	3	58490863	58523046	86	26	173005	-0.44945	0.67344	ACOX2
ENSG00000168309	3	58549844	58613337	339	38	173005	-0.75488	0.77484	FAM107A
ENSG00000198643	3	58619673	58652575	156	24	173005	-0.10374	0.54131	FAM3D
ENSG00000163689	3	58703092	59035810	833	57	173005	0.013897	0.49446	C3orf67
ENSG00000189283	3	59735036	61237133	8402	434	173005	2.9829	0.0014276	FHIT
ENSG00000269415	3	59957215	59957583	3	1	173005	1.4727	0.070421	NPCDR1
ENSG00000144724	3	61547243	62283288	3243	228	173005	2.2822	0.011238	PTPRG
ENSG00000114405	3	62304648	62321888	34	20	173005	1.0777	0.14059	C3orf14
ENSG00000153266	3	62355356	62359999	3	2	173005	0.57593	0.28233	FEZF2
ENSG00000163618	3	62384022	62861054	2332	135	173005	0.60334	0.27314	CADPS
ENSG00000163630	3	63213991	63602597	2042	142	173005	0.03785	0.4849	SYNPR
ENSG00000188817	3	63638344	63664696	139	19	173005	-0.89952	0.81581	SNTN
ENSG00000163632	3	63805038	63834312	63	19	173005	-0.13187	0.55246	C3orf49
ENSG00000163634	3	63819546	63849579	67	19	173005	0.013645	0.49456	THOC7
ENSG00000163635	3	63850233	63989138	413	50	173005	-0.58613	0.72111	ATXN7
ENSG00000163636	3	63996225	64009658	53	17	173005	-0.55234	0.70964	PSMD6
ENSG00000163637	3	64079543	64431152	1497	122	173005	0.68847	0.24558	PRICKLE2
ENSG00000163638	3	64501333	64673676	724	70	173005	0.164	0.43487	ADAMTS9
ENSG00000151276	3	65339200	66024509	3020	203	173005	1.4939	0.067597	MAGI1
ENSG00000144741	3	66119285	66438540	924	68	173005	-0.29155	0.61469	SLC25A26
ENSG00000144749	3	66429221	66551687	460	54	173005	-0.00092789	0.50037	LRIG1
ENSG00000163376	3	67048727	67061634	30	12	173005	0.18577	0.42631	KBTBD8
ENSG00000172340	3	67410884	67705038	1523	85	173005	0.095489	0.46196	SUCLG2
ENSG00000183662	3	68053359	68594776	2547	123	173005	0.0086884	0.49653	FAM19A1
ENSG00000163377	3	68780917	68981761	900	39	173005	0.1814	0.42803	FAM19A4
ENSG00000163378	3	69024365	69063112	178	24	173005	1.7358	0.041297	EOGT
ENSG00000144747	3	69068978	69101484	89	18	173005	2.3413	0.0096081	TMF1
ENSG00000144744	3	69103881	69129559	66	13	173005	2.067	0.019367	UBA3
ENSG00000144746	3	69134095	69155217	86	17	173005	-0.39986	0.65537	ARL6IP5
ENSG00000163380	3	69156023	69172183	73	16	173005	-0.33406	0.63083	LMOD3
ENSG00000114541	3	69219141	69591734	1727	126	173005	0.85069	0.19747	FRMD4B
ENSG00000187098	3	69788586	70017488	786	33	173005	0.11364	0.45476	MITF
ENSG00000114861	3	71003844	71633140	1994	167	173005	0.90253	0.18339	FOXP1
ENSG00000163412	3	71724567	71803924	343	45	173005	2.1127	0.017315	EIF4E3
ENSG00000170837	3	71803201	71805647	3	2	173005	0.17602	0.43014	GPR27
ENSG00000163421	3	71820807	71834357	44	15	173005	-0.20119	0.57973	PROK2
ENSG00000163602	3	72420976	72496069	168	55	173005	0.9252	0.17743	RYBP
ENSG00000144736	3	72798428	72911065	296	23	173005	-1.2711	0.89816	SHQ1
ENSG00000172986	3	72937224	73047289	420	37	173005	0.36632	0.35706	GXYLT2
ENSG00000163605	3	73045936	73118350	350	17	173005	-1.7084	0.95622	PPP4R2
ENSG00000255423	3	73110810	73112488	10	3	173005	-1.8777	0.96979	EBLN2
ENSG00000121440	3	73431584	73674091	853	99	173005	-0.32732	0.62829	PDZRN3
ENSG00000113805	3	74311719	74570291	956	99	173005	-0.19276	0.57643	CNTN3
ENSG00000227124	3	75758794	75834734	225	21	173005	0.15873	0.43694	ZNF717
ENSG00000185008	3	75955846	77699115	7389	312	173005	2.757	0.0029168	ROBO2
ENSG00000169855	3	78646390	79816965	3827	149	173005	0.61609	0.26892	ROBO1
ENSG00000114480	3	81538850	81811312	788	54	173005	0.41554	0.33887	GBE1
ENSG00000175161	3	85008132	86123579	4211	87	173005	-0.55023	0.70892	CADM2
ENSG00000206538	3	86987119	87040269	158	21	173005	0.52858	0.29855	VGLL3
ENSG00000083937	3	87276421	87304698	107	26	173005	-0.70506	0.75961	CHMP2B
ENSG00000064835	3	87308554	87325737	50	15	173005	-0.41502	0.66094	POU1F1
ENSG00000179097	3	88039846	88042919	8	5	173005	-0.30476	0.61973	HTR1F
ENSG00000163320	3	88101094	88199035	296	12	173005	0.95396	0.17005	CGGBP1
ENSG00000229729	3	88108424	88188123	242	13	173005	0.90486	0.18277	RP11-159G9.5
ENSG00000175105	3	88188254	88193815	18	7	173005	1.7462	0.040391	ZNF654
ENSG00000179021	3	88198893	88217879	61	9	173005	0.90724	0.18214	C3orf38
ENSG00000044524	3	89156674	89531284	1041	48	173005	1.2369	0.10807	EPHA3
ENSG00000184500	3	93591881	93692910	203	67	173005	0.82144	0.2057	PROS1
ENSG00000169379	3	93698983	93774512	132	42	173005	1.1466	0.12577	ARL13B
ENSG00000178750	3	93733213	93747454	25	11	173005	1.0469	0.14756	STX19
ENSG00000178700	3	93766680	93782233	27	14	173005	0.887	0.18754	DHFRL1
ENSG00000178694	3	93781760	93847389	120	49	173005	0.61675	0.2687	NSUN3
ENSG00000269028	3	96335981	96337000	4	2	173005	0.3745	0.35402	MTRNR2L12
ENSG00000080224	3	96533425	97471304	2320	116	173005	1.0291	0.15172	EPHA6
ENSG00000113966	3	97483365	97519953	111	19	173005	0.35717	0.36048	ARL6
ENSG00000233280	3	97540884	97594132	96	16	173005	0.73622	0.2308	CRYBG3
ENSG00000080200	3	97595819	97663810	130	17	173005	0.35269	0.36216	CRYBG3
ENSG00000170854	3	97660662	97691301	58	21	173005	0.39094	0.34792	MINA
ENSG00000196578	3	97806017	97806946	5	3	173005	0.61705	0.2686	OR5AC2
ENSG00000231192	3	97851542	97852483	5	2	173005	1.1248	0.13033	OR5H1
ENSG00000236032	3	97868170	97869249	6	1	173005	2.0165	0.021873	OR5H14
ENSG00000233412	3	97887544	97888485	11	4	173005	1.0766	0.14082	OR5H15
ENSG00000230301	3	97983088	97984200	16	6	173005	0.15571	0.43813	OR5H6
ENSG00000197938	3	98001732	98002676	7	4	173005	-1.0109	0.84396	OR5H2
ENSG00000196098	3	98072698	98073663	2	1	173005	0.12661	0.44962	OR5K4
ENSG00000206536	3	98109510	98110475	1	1	173005	1.6613	0.04833	OR5K3
ENSG00000232382	3	98188324	98189420	4	2	173005	-0.26028	0.60268	OR5K1
ENSG00000231861	3	98216448	98217496	3	2	173005	-0.61227	0.72982	OR5K2
ENSG00000080822	3	98216756	98241910	76	19	173005	0.64694	0.25884	CLDND1
ENSG00000080819	3	98239976	98312567	260	38	173005	0.48234	0.31478	CPOX
ENSG00000154165	3	98250743	98251960	3	2	173005	-0.3809	0.64836	GPR15
ENSG00000064225	3	98451080	98540045	295	30	173005	0.292	0.38514	ST3GAL6
ENSG00000057019	3	98514785	98620533	351	25	173005	0.71071	0.23863	DCBLD2
ENSG00000144810	3	99357319	99518070	528	40	173005	-2.0053	0.97754	COL8A1
ENSG00000184220	3	99536678	99897447	989	39	173005	-1.533	0.93736	CMSS1
ENSG00000168386	3	99548985	99833357	805	28	173005	-1.4145	0.9214	FILIP1L
ENSG00000235156	3	99904531	99913035	34	9	173005	0.19369	0.42321	TMEM30C
ENSG00000036054	3	99979844	100044095	239	19	173005	-0.059086	0.52356	TBC1D23
ENSG00000114021	3	100053545	100075710	76	16	173005	-1.8841	0.97023	NIT2
ENSG00000154174	3	100082275	100120242	134	28	173005	-1.3575	0.91269	TOMM70A
ENSG00000206535	3	100120037	100175163	180	31	173005	-1.5915	0.94425	LNP1
ENSG00000181458	3	100211463	100296288	336	22	173005	-1.3398	0.90984	TMEM45A
ENSG00000144820	3	100328433	100414323	425	21	173005	-2.3696	0.9911	GPR128
ENSG00000114354	3	100428205	100467810	181	13	173005	-1.4551	0.92718	TFG
ENSG00000154175	3	100468000	100712359	1021	68	173005	-0.88367	0.81156	ABI3BP
ENSG00000081148	3	100941390	101039404	254	20	173005	2.7158	0.0033061	IMPG2
ENSG00000138468	3	101043049	101232085	685	18	173005	1.7154	0.043139	SENP7
ENSG00000174173	3	101280706	101285290	17	7	173005	3.3187	0.00045211	TRMT10C
ENSG00000081154	3	101292939	101313281	65	15	173005	3.3003	0.00048299	PCNP
ENSG00000066422	3	101367733	101396339	68	15	173005	1.29	0.098521	ZBTB11
ENSG00000114391	3	101399935	101405626	17	9	173005	1.0451	0.148	RPL24
ENSG00000182504	3	101442769	101489406	115	18	173005	1.0594	0.1447	CEP97
ENSG00000144815	3	101498046	101547073	130	24	173005	0.86258	0.19418	NXPE3
ENSG00000144802	3	101546835	101579866	55	22	173005	0.69309	0.24413	NFKBIZ
ENSG00000170044	3	101818088	102198685	1222	75	173005	0.45265	0.3254	ZPLD1
ENSG00000170017	3	105085753	105295744	846	48	173005	-0.2203	0.58718	ALCAM
ENSG00000114423	3	105374305	105588396	751	46	173005	0.18596	0.42624	CBLB
ENSG00000138483	3	107096188	107097481	7	4	173005	-1.5413	0.93838	CCDC54
ENSG00000114439	3	107241783	107530171	816	58	173005	-0.081287	0.53239	BBX
ENSG00000196776	3	107762145	107809872	128	28	173005	1.0086	0.15657	CD47
ENSG00000114446	3	107879659	107941417	369	8	173005	1.0997	0.13573	IFT57
ENSG00000114455	3	108015376	108097132	366	32	173005	-0.37231	0.64517	HHLA2
ENSG00000144821	3	108099216	108248169	479	49	173005	1.3989	0.080923	MYH15
ENSG00000163507	3	108268716	108308491	107	20	173005	-0.14936	0.55936	KIAA1524
ENSG00000198919	3	108308529	108413693	205	28	173005	-0.43045	0.66657	DZIP3
ENSG00000163515	3	108462271	108476231	49	10	173005	0.9133	0.18054	RETNLB
ENSG00000163519	3	108541545	108573852	108	24	173005	1.0686	0.14263	TRAT1
ENSG00000138472	3	108626639	108672742	207	32	173005	0.12783	0.44914	GUCA1C
ENSG00000114487	3	108677086	108836989	687	30	173005	0.63572	0.26248	MORC1
ENSG00000163530	3	109012635	109035364	83	26	173005	-0.46882	0.6804	DPPA2
ENSG00000121570	3	109044988	109056419	44	7	173005	-2.0467	0.97966	DPPA4
ENSG00000206532	3	110607231	110612323	16	7	173005	1.0331	0.15079	RP11-553A10.1
ENSG00000177707	3	110788918	110994410	712	72	173005	-0.081157	0.53234	PVRL3
ENSG00000153283	3	111011566	111384597	1463	87	173005	0.64391	0.25982	CD96
ENSG00000177494	3	111311747	111314290	6	3	173005	1.056	0.14549	ZBED2
ENSG00000240891	3	111393523	111565294	779	52	173005	0.88811	0.18724	PLCXD2
ENSG00000144824	3	111451344	111695364	1155	63	173005	0.12701	0.44947	PHLDB2
ENSG00000144827	3	111697857	111712210	68	10	173005	-0.93977	0.82633	ABHD10
ENSG00000144834	3	111717511	111732734	97	22	173005	0.84908	0.19792	TAGLN3
ENSG00000176040	3	111753690	111800116	296	28	173005	1.8816	0.029945	TMPRSS7
ENSG00000114529	3	111805182	111849851	180	20	173005	0.28672	0.38716	C3orf52
ENSG00000174500	3	111839688	111852152	45	14	173005	0.71885	0.23612	GCSAM
ENSG00000172139	3	111859734	112013105	873	31	173005	-0.11999	0.54775	SLC9C1
ENSG00000091972	3	112051194	112081659	119	20	173005	0.52695	0.29911	CD200
ENSG00000186265	3	112182815	112218408	85	16	173005	-0.39959	0.65527	BTLA
ENSG00000144848	3	112251356	112280893	107	12	173005	-0.48509	0.68619	ATG3
ENSG00000138459	3	112280556	112304424	110	16	173005	-0.14088	0.55602	SLC35A5
ENSG00000091986	3	112323407	112368377	155	33	173005	0.68901	0.24541	CCDC80
ENSG00000206531	3	112534556	112565703	147	22	173005	0.22178	0.41224	CD200R1L
ENSG00000163606	3	112640056	112693969	270	26	173005	-0.10436	0.54156	CD200R1
ENSG00000163607	3	112709765	112733907	94	24	173005	0.18991	0.42469	GTPBP8
ENSG00000163608	3	112721287	112738708	69	21	173005	0.40101	0.34421	C3orf17
ENSG00000144857	3	112929850	113006303	323	48	173005	-1.1395	0.87275	BOC
ENSG00000206530	3	113005777	113160457	751	34	173005	-0.95321	0.82976	WDR52
ENSG00000163611	3	113161565	113234034	420	29	173005	-0.24985	0.59865	SPICE1
ENSG00000072858	3	113251143	113348425	448	52	173005	-0.20714	0.58205	SIDT1
ENSG00000176542	3	113367232	113415493	86	14	173005	0.3123	0.37741	KIAA2018
ENSG00000121579	3	113435307	113465147	58	14	173005	0.15968	0.43657	NAA50
ENSG00000114573	3	113465866	113530903	123	12	173005	0.61416	0.26955	ATP6V1A
ENSG00000178075	3	113547029	113666021	334	45	173005	-1.0123	0.84429	GRAMD1C
ENSG00000184307	3	113666748	113684248	42	14	173005	-2.2654	0.98826	ZDHHC23
ENSG00000163617	3	113682984	113775460	182	36	173005	-2.907	0.99818	KIAA1407
ENSG00000151576	3	113724680	113807269	186	31	173005	-2.0968	0.98199	QTRTD1
ENSG00000151577	3	113847499	113918254	264	28	173005	1.3068	0.095644	DRD3
ENSG00000174255	3	113953483	113956425	19	8	173005	-0.0009507	0.50038	ZNF80
ENSG00000181847	3	113995760	114029135	121	35	173005	-0.18212	0.57226	TIGIT
ENSG00000181722	3	114056941	114866118	2321	133	173005	0.40156	0.344	ZBTB20
ENSG00000172020	3	115342171	115440337	345	64	173005	0.59391	0.27629	GAP43
ENSG00000185565	3	115521235	117716095	8868	398	173005	2.5676	0.0051199	LSAMP
ENSG00000144847	3	118619404	118864915	938	58	173005	0.37486	0.35388	IGSF11
ENSG00000163424	3	118864997	118878889	67	17	173005	0.67239	0.25067	C3orf30
ENSG00000251012	3	118866222	118906654	228	39	173005	0.32301	0.37334	RP11-484M3.5
ENSG00000114638	3	118892364	118924000	149	34	173005	-1.4248	0.92289	UPK1B
ENSG00000121578	3	118930579	118959950	157	27	173005	-2.0091	0.97774	B4GALT4
ENSG00000031081	3	119013220	119139561	589	70	173005	-0.51425	0.69646	ARHGAP31
ENSG00000176142	3	119148347	119187677	123	18	173005	-1.2885	0.90121	TMEM39A
ENSG00000163389	3	119187785	119213555	92	19	173005	-1.4088	0.92055	POGLUT1
ENSG00000113845	3	119217379	119243937	119	20	173005	-2.259	0.98806	TIMMDC1
ENSG00000121594	3	119243140	119278449	150	33	173005	-1.8728	0.96945	CD80
ENSG00000144843	3	119298115	119308792	33	14	173005	-0.38538	0.65002	ADPRH
ENSG00000144837	3	119316689	119348658	155	18	173005	-0.19035	0.57548	PLA1A
ENSG00000121577	3	119355304	119384171	142	20	173005	-0.45321	0.6748	POPDC2
ENSG00000138495	3	119373360	119396301	113	13	173005	-0.095052	0.53786	COX17
ENSG00000183833	3	119421869	119485949	202	31	173005	0.29575	0.38371	MAATS1
ENSG00000144852	3	119499331	119537332	175	34	173005	0.43956	0.33013	NR1I2
ENSG00000082701	3	119540170	119813264	666	47	173005	0.80046	0.21172	GSK3B
ENSG00000175697	3	119883492	120003941	441	38	173005	0.82155	0.20567	GPR156
ENSG00000163428	3	120043356	120068186	96	17	173005	0.28826	0.38657	LRRC58
ENSG00000163430	3	120111140	120170100	231	35	173005	0.46535	0.32084	FSTL1
ENSG00000065518	3	120315156	120321347	34	10	173005	-0.86162	0.80555	NDUFB4
ENSG00000113924	3	120347020	120401418	260	36	173005	-0.89454	0.81448	HGD
ENSG00000144840	3	120405528	120461840	182	38	173005	-1.5357	0.9377	RABL3
ENSG00000153767	3	120461484	120501916	129	31	173005	-1.686	0.95411	GTF2E1
ENSG00000145087	3	120626919	121143608	2243	42	173005	0.40559	0.34252	STXBP5L
ENSG00000051341	3	121150278	121264853	334	28	173005	-1.2359	0.89175	POLQ
ENSG00000186103	3	121289551	121305481	83	12	173005	-0.11532	0.5459	ARGFX
ENSG00000163833	3	121311966	121349139	170	38	173005	-0.30155	0.6185	FBXO40
ENSG00000180353	3	121350246	121379774	104	16	173005	-0.83086	0.79697	HCLS1
ENSG00000173230	3	121382046	121468602	224	32	173005	0.51129	0.30457	GOLGB1
ENSG00000173226	3	121488610	121553926	271	18	173005	-0.098552	0.53925	IQCB1
ENSG00000145088	3	121554030	121605373	173	15	173005	0.84157	0.20001	EAF2
ENSG00000163406	3	121612936	121662949	227	9	173005	-0.78124	0.78267	SLC15A2
ENSG00000145103	3	121706170	121741051	105	26	173005	-0.75285	0.77423	ILDR1
ENSG00000114013	3	121774213	121839983	172	39	173005	-0.92685	0.823	CD86
ENSG00000036828	3	121902530	122005342	483	36	173005	0.92953	0.17631	CASR
ENSG00000121552	3	122044091	122060819	72	16	173005	0.73397	0.23148	CSTA
ENSG00000160124	3	122078438	122102078	79	18	173005	0.54407	0.2932	CCDC58
ENSG00000114023	3	122103023	122131181	108	20	173005	0.56878	0.28475	FAM162A
ENSG00000196981	3	122130715	122134882	8	4	173005	1.1986	0.11534	WDR5B
ENSG00000114030	3	122140796	122233792	270	25	173005	0.79065	0.21458	KPNA1
ENSG00000138496	3	122246771	122283424	119	21	173005	0.9848	0.16236	PARP9
ENSG00000163840	3	122283085	122294050	32	16	173005	-0.16789	0.56666	DTX3L
ENSG00000173200	3	122296449	122357894	325	38	173005	0.38974	0.34837	PARP15
ENSG00000173193	3	122399465	122449687	213	30	173005	1.1452	0.12606	PARP14
ENSG00000169087	3	122458846	122512671	226	25	173005	0.80695	0.20985	HSPBAP1
ENSG00000138463	3	122513642	122599986	251	39	173005	1.3989	0.08092	DIRC2
ENSG00000082684	3	122628041	122747452	543	70	173005	-0.41213	0.65988	SEMA5B
ENSG00000065485	3	122785909	122944074	620	58	173005	0.91964	0.17888	PDIA5
ENSG00000121542	3	122920774	122992977	300	10	173005	1.5881	0.056134	SEC22A
ENSG00000173175	3	123001143	123168605	585	53	173005	1.2316	0.10905	ADCY5
ENSG00000206527	3	123209667	123304032	380	29	173005	-0.43737	0.66908	PTPLB
ENSG00000065534	3	123328896	123603178	860	94	173005	0.54448	0.29305	MYLK
ENSG00000175455	3	123616152	123680564	213	27	173005	1.0386	0.14949	CCDC14
ENSG00000065371	3	123687368	123711025	68	17	173005	0.43248	0.3327	ROPN1
ENSG00000160145	3	123798870	124445172	2776	125	173005	0.70136	0.24154	KALRN
ENSG00000114491	3	124449213	124464040	69	13	173005	-0.75451	0.77473	UMPS
ENSG00000082781	3	124480795	124620265	593	39	173005	-1.2156	0.88794	ITGB5
ENSG00000173702	3	124624289	124672663	219	43	173005	0.4179	0.33801	MUC13
ENSG00000173706	3	124684554	124774802	362	36	173005	-1.347	0.91101	HEG1
ENSG00000221955	3	124801480	124998021	916	92	173005	-0.096153	0.5383	SLC12A8
ENSG00000163848	3	124944405	125094198	383	20	173005	0.59429	0.27616	ZNF148
ENSG00000114520	3	125165495	125239041	279	22	173005	0.67742	0.24907	SNX4
ENSG00000144909	3	125247702	125313934	287	19	173005	-0.1208	0.54808	OSBPL11
ENSG00000189366	3	125648118	125655882	53	7	173005	0.27947	0.38994	ALG1L
ENSG00000114547	3	125687987	125702297	41	16	173005	0.29676	0.38332	ROPN1B
ENSG00000114544	3	125725198	125820404	493	29	173005	0.41142	0.34038	SLC41A3
ENSG00000144908	3	125822412	125916837	507	39	173005	1.4816	0.069226	ALDH1L1
ENSG00000163884	3	126061478	126076285	33	13	173005	-0.016452	0.50656	KLF15
ENSG00000163885	3	126113782	126155399	235	48	173005	1.1581	0.12341	CCDC37
ENSG00000070476	3	126156444	126194762	189	30	173005	1.0765	0.14085	ZXDC
ENSG00000159650	3	126200124	126236616	201	46	173005	-0.035154	0.51402	UROC1
ENSG00000180767	3	126243126	126262134	100	17	173005	0.078394	0.46876	CHST13
ENSG00000180697	3	126245842	126277808	171	24	173005	0.10525	0.45809	C3orf22
ENSG00000197763	3	126290622	126373998	300	30	173005	0.20803	0.4176	TXNRD3
ENSG00000206483	3	126290625	126327398	131	25	173005	0.34392	0.36545	TXNRD3NB
ENSG00000159685	3	126423063	126679249	957	42	173005	-1.0114	0.84408	CHCHD6
ENSG00000114554	3	126707437	126756235	207	31	173005	0.55767	0.28853	PLXNA1
ENSG00000214324	3	126911974	126917025	17	9	173005	-2.4241	0.99233	C3orf56
ENSG00000163870	3	127291912	127317094	47	24	173005	1.0445	0.14812	TPRA1
ENSG00000073111	3	127317066	127341276	54	26	173005	1.0898	0.13791	MCM2
ENSG00000114631	3	127348024	127391652	106	38	173005	0.86019	0.19484	PODXL2
ENSG00000114626	3	127391778	127399768	19	11	173005	1.3355	0.090864	ABTB1
ENSG00000074416	3	127407909	127542051	544	68	173005	0.69224	0.24439	MGLL
ENSG00000187715	3	127634075	127706514	223	34	173005	1.1026	0.1351	KBTBD12
ENSG00000058262	3	127770484	127790526	63	7	173005	1.2869	0.099073	SEC61A1
ENSG00000175792	3	127783621	127872757	267	18	173005	0.587	0.2786	RUVBL1
ENSG00000132394	3	127872297	128127485	660	31	173005	0.29732	0.38311	EEFSEC
ENSG00000179407	3	128181282	128186091	27	10	173005	0.059688	0.4762	DNAJB8
ENSG00000179348	3	128198270	128212028	47	16	173005	1.309	0.095274	GATA2
ENSG00000198685	3	128290843	128294929	29	12	173005	0.70441	0.24059	C3orf27
ENSG00000163902	3	128338817	128399918	226	24	173005	0.029034	0.48842	RPN1
ENSG00000075785	3	128444965	128533639	326	26	173005	0.50889	0.30541	RAB7A
ENSG00000177646	3	128598439	128634910	179	22	173005	0.97973	0.16361	ACAD9
ENSG00000114656	3	128628709	128721533	377	38	173005	0.87893	0.18972	KIAA1257
ENSG00000187695	3	128628717	128690173	274	28	173005	0.89438	0.18556	RP11-723O4.6
ENSG00000114654	3	128720472	128759585	109	23	173005	0.83384	0.20219	EFCC1
ENSG00000169704	3	128779610	128781249	5	3	173005	-0.9888	0.83862	GP9
ENSG00000172780	3	128806412	128841644	74	20	173005	-0.26865	0.6059	RAB43
ENSG00000261796	3	128806418	128879879	165	34	173005	-0.0055777	0.50223	ISY1-RAB43
ENSG00000240682	3	128846258	128880136	76	25	173005	0.038883	0.48449	ISY1
ENSG00000169714	3	128888327	128902765	39	16	173005	-0.20076	0.57956	CNBP
ENSG00000181789	3	128968449	128996614	106	12	173005	-0.59406	0.72376	COPG1
ENSG00000183624	3	128997671	129025029	102	13	173005	-1.9771	0.97599	HMCES
ENSG00000184897	3	129033615	129035120	11	5	173005	-0.10151	0.54043	H1FX
ENSG00000172771	3	129120164	129147494	141	15	173005	0.50542	0.30663	EFCAB12
ENSG00000129071	3	129149787	129158878	27	6	173005	1.4517	0.073294	MBD4
ENSG00000163913	3	129158968	129239198	284	20	173005	1.3338	0.091134	IFT122
ENSG00000163914	3	129247483	129254012	25	9	173005	0.48209	0.31487	RHO
ENSG00000178804	3	129262057	129270310	37	10	173005	1.0543	0.14588	H1FOO
ENSG00000004399	3	129274018	129325661	224	32	173005	0.16227	0.43555	PLXND1
ENSG00000172765	3	129366635	129612419	470	41	173005	-0.79342	0.78623	TMCC1
ENSG00000170893	3	129693148	129696781	11	5	173005	0.025418	0.48986	TRH
ENSG00000172752	3	130064359	130203688	625	38	173005	-0.34161	0.63368	COL6A5
ENSG00000206384	3	130279178	130396999	314	49	173005	-0.06095	0.5243	COL6A6
ENSG00000196455	3	130397779	130465673	213	17	173005	-0.48579	0.68644	PIK3R4
ENSG00000017260	3	130569439	130735556	467	48	173005	-0.075858	0.53023	ATP2C1
ENSG00000034533	3	130732719	130746493	36	8	173005	-0.7219	0.76482	ASTE1
ENSG00000114670	3	130745694	131069309	977	56	173005	0.58333	0.27984	NEK11
ENSG00000198585	3	131100515	131107674	11	7	173005	0.36751	0.35662	NUDT16
ENSG00000114686	3	131181056	131221827	127	28	173005	-0.71052	0.76131	MRPL3
ENSG00000196353	3	131252399	132004254	3955	129	173005	0.91733	0.17948	CPNE4
ENSG00000014257	3	132036211	132087142	248	25	173005	-0.84538	0.80105	ACPP
ENSG00000138246	3	132136370	132257876	344	35	173005	-2.0732	0.98092	DNAJC13
ENSG00000240303	3	132276982	132379567	230	32	173005	-0.25005	0.59873	ACAD11
ENSG00000113971	3	132276986	132441303	368	34	173005	0.15996	0.43646	NPHP3
ENSG00000129048	3	132316081	132337811	60	17	173005	-1.01	0.84375	ACKR4
ENSG00000081307	3	132373290	132396941	35	13	173005	-0.36495	0.64243	UBA5
ENSG00000144868	3	132757235	133116636	1439	64	173005	0.19919	0.42106	TMEM108
ENSG00000170819	3	133118839	133194066	360	51	173005	-0.43254	0.66733	BFSP2
ENSG00000091527	3	133292574	133309105	61	14	173005	-0.56311	0.71332	CDV3
ENSG00000163781	3	133317019	133380737	228	27	173005	-0.0206	0.50822	TOPBP1
ENSG00000091513	3	133464800	133497850	150	24	173005	-0.20132	0.57978	TF
ENSG00000144867	3	133502877	133544616	149	31	173005	-0.44451	0.67166	SRPRB
ENSG00000154917	3	133543083	133614680	300	65	173005	-1.2434	0.89314	RAB6B
ENSG00000221972	3	133646992	133648656	5	3	173005	-0.40371	0.65679	C3orf36
ENSG00000174640	3	133651540	133771028	512	71	173005	1.4633	0.071692	SLCO2A1
ENSG00000163785	3	133784147	133969689	701	42	173005	-1.2701	0.89798	RYK
ENSG00000114019	3	134074716	134094321	55	15	173005	-0.64631	0.74096	AMOTL2
ENSG00000129055	3	134196548	134205558	26	4	173005	2.1776	0.014717	ANAPC13
ENSG00000182923	3	134204585	134293859	293	14	173005	2.0195	0.021719	CEP63
ENSG00000154928	3	134316643	134979309	2629	190	173005	0.76146	0.22319	EPHB1
ENSG00000174611	3	134321980	134370478	147	12	173005	1.6078	0.053936	KY
ENSG00000073711	3	135684515	135866733	461	42	173005	1.1844	0.11813	PPP2R3A
ENSG00000174579	3	135867764	135916083	96	34	173005	1.4744	0.070193	MSL2
ENSG00000114054	3	135969148	136056738	228	44	173005	2.1819	0.014558	PCCB
ENSG00000118007	3	136055077	136471220	990	47	173005	2.3143	0.010327	STAG1
ENSG00000168917	3	136537489	136574734	131	11	173005	0.25702	0.39858	SLC35G2
ENSG00000158092	3	136581050	136668665	262	13	173005	0.41629	0.3386	NCK1
ENSG00000174564	3	136665072	136729927	177	19	173005	0.93735	0.17429	IL20RB
ENSG00000168875	3	137483579	137484396	1	1	173005	0.11253	0.4552	SOX14
ENSG00000066405	3	137717577	137752494	95	17	173005	-1.0525	0.85371	CLDN18
ENSG00000158163	3	137780832	137834660	169	16	173005	-0.075958	0.53027	DZIP1L
ENSG00000118017	3	137842560	137851229	25	6	173005	-0.45802	0.67653	A4GNT
ENSG00000138231	3	137879854	137893791	34	7	173005	-1.0872	0.86152	DBR1
ENSG00000114098	3	137906109	138017231	166	58	173005	-0.072169	0.52877	ARMC8
ENSG00000181322	3	137980279	138048728	114	51	173005	-0.24651	0.59736	NME9
ENSG00000158186	3	138066539	138124375	193	25	173005	-0.11079	0.54411	MRAS
ENSG00000158220	3	138153428	138200528	138	30	173005	-0.94808	0.82846	ESYT3
ENSG00000114107	3	138213186	138313380	255	17	173005	-1.2794	0.89963	CEP70
ENSG00000158234	3	138327448	138352218	65	14	173005	-0.36283	0.64163	FAIM
